"","name","country.etc","pop","lat","long","capital"
"9955","Dunavci","BGR",2816,43.92,22.82,0
"9956","Dunavecse","HUN",4189,46.92,18.98,0
"9957","Dunayivtsi","UKR",15693,48.9,26.83,0
"9958","Dunboyne","IRL",7273,53.4,-6.47,0
"9959","Duncan","CAN",22215,48.78,-123.7,0
"9960","Duncan Town","BHS",69,22.19,-75.73,0
"9961","Duncans","JAM",1872,18.47,-77.53,0
"9962","Dunda","TZA",14332,-8.12,34.25,0
"9963","Dundalk","CAN",2109,44.17,-80.38,0
"9964","Dundalk","IRL",33730,54.02,-6.42,0
"9965","Dundalk","USA",61426,39.27,-76.5,0
"9966","Dundee","ZAF",92627,-28.16,30.23,0
"9967","Dundee","GBR",151236,56.47,-3,0
"9968","Dunedin","NZL",115276,-45.88,170.48,0
"9969","Dunfermline","GBR",38992,56.07,-3.46,0
"9970","Dunga Bunga","PAK",26481,29.75,73.25,0
"9971","Dunga Bweni","TZA",2821,-6.13,39.33,0
"9972","Dungannon","GBR",12163,54.52,-6.75,0
"9973","Dungarvan","IRL",7581,52.09,-7.63,0
"9974","Dungun","MYS",60224,3.22,101.32,0
"9975","Dunhua","CHN",148543,43.35,128.22,0
"9976","Dunjkovec","HRV",917,46.39,16.37,0
"9977","Dunkirk","FRA",71207,51.04,2.34,0
"9978","Dunkwa","GHA",25778,5.96,-1.79,0
"9979","Dunmanway","IRL",1577,51.72,-9.12,0
"9980","Dunmore East","IRL",1810,52.15,-7,0
"9981","Dunmore Town","BHS",1543,25.5,-76.63,0
"9982","Dunnville","CAN",6082,42.91,-79.62,0
"9983","Dunqula","SDN",19518,19.17,30.47,0
"9984","Dunsandel","NZL",445,-43.67,172.18,0
"9985","Dunshaughlin","IRL",3759,53.51,-6.54,0
"9986","Dunstable","GBR",52231,51.89,-0.54,0
"9987","Dunville","CAN",3260,48.28,-53.88,0
"9988","Dunyapur","PAK",34818,29.8,71.73,0
"9989","Duobao","CHN",91416,30.65,112.63,0
"9990","Dupnica","BGR",33284,42.27,23.12,0
"9991","Duque de Caxias","BRA",829012,-22.77,-43.31,0
"9992","Dura","PSE",21505,31.52,35.04,0
"9993","Dura al-Qar'","PSE",2738,31.95,35.21,0
"9994","Duragan","TUR",11999,41.42,35.05,0
"9995","Durango","MEX",463040,24.03,-104.67,0
"9996","Durango","ESP",26851,43.18,-2.63,0
"9997","Durania","COL",3551,7.72,-72.66,0
"9998","Duraykis","SYR",12193,34.88,36.13,0
"9999","Durazno","URY",34283,-33.41,-56.51,0
"10000","Durban","ZAF",3244028,-29.87,30.99,0
"10001","Durbe","LVA",451,56.59,21.35,0
"10002","Durbuy","BEL",10325,50.35,5.47,0
"10003","Durcal","ESP",7370,36.98,-3.57,0
"10004","Durdenovac","HRV",3493,45.54,18.05,0
"10005","Durdevac","HRV",6656,46.04,17.07,0
"10006","Durdevo","SRB",5357,45.32,20.06,0
"10007","Duren","DEU",93914,50.81,6.49,0
"10008","Durg","IND",261496,21.2,81.28,0
"10009","Durgapur","IND",525047,23.5,87.31,0
"10010","Durham","CAN",2898,44.18,-80.82,0
"10011","Durham","GBR",46406,54.78,-1.6,0
"10012","Durham","USA",208426,35.98,-78.91,0
"10013","Duri","IDN",63229,1.26,101.21,0
"10014","Durmanec","HRV",915,46.2,15.84,0
"10015","Durnten","CHE",6082,47.28,8.84,0
"10016","Durres","ALB",124148,41.33,19.45,0
"10017","Durrington-Bulford","GBR",9564,51.2,-1.77,0
"10018","Dursley","GBR",13716,51.68,-2.35,0
"10019","Dursunbey","TUR",17914,39.59,28.63,0
"10020","Durusu","TUR",2861,41.33,28.69,0
"10021","Dusa Marreb","SOM",8831,5.75,46.51,0
"10022","Dusetos","LTU",813,55.73,25.83,0
"10023","Dushanbe","TJK",538456,38.57,68.78,1
"10024","Dusheti","GEO",6934,42.09,44.7,0
"10025","Dusnok","HUN",3274,46.38,18.97,0
"10026","Dusseldorf","DEU",573521,51.24,6.79,0
"10027","Dusti","TJK",8843,37.35,68.67,0
"10028","Duta Bulu","GMB",223,13.57,-15.62,0
"10029","Dutlwe","BWA",1155,-23.98,23.9,0
"10030","Dutsan Wai","NGA",22598,10.85,8.2,0
"10031","Dutse","NGA",17426,11.8,9.33,0
"10032","Dutsin Ma","NGA",12815,12.45,7.5,0
"10033","Dutton","CAN",1470,42.66,-81.5,0
"10034","Duverge","DOM",13874,18.38,-71.53,0
"10035","Duwaqarah","JOR",4599,32.6,35.73,0
"10036","Duwirah","DZA",26427,36.67,2.95,0
"10037","Duxbury","USA",44473,42.04,-70.67,0
"10038","Duyun","CHN",91620,26.27,107.52,0
"10039","Duyure","HND",1177,13.63,-86.82,0
"10040","Duz","TUN",28402,33.47,9.01,0
"10041","Duzce","TUR",57856,40.85,31.15,0
"10042","Duzici","TUR",52597,37.23,36.51,0
"10043","Duzkoy","TUR",8352,40.87,39.43,0
"10044","Dve Mogili","BGR",4472,43.6,25.88,0
"10045","Dvin","ARM",2782,40.02,44.59,0
"10046","Dvor","HRV",1321,45.07,16.37,0
"10047","Dvorce","CZE",1494,49.83,17.57,0
"10048","Dvorichna","UKR",4283,49.85,37.69,0
"10049","Dvur Kralove","CZE",16325,50.44,15.81,0
"10050","Dvur Kralove nad Labem","CZE",16008,50.43,15.81,0
"10051","Dyatkovo","RUS",33258,53.6,34.34,0
"10052","Dybbol","DNK",2310,54.92,9.75,0
"10053","Dykan'ka","UKR",8264,49.82,34.53,0
"10054","Dymer","UKR",5601,50.78,30.3,0
